Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,floor_area_sqft,price_per_sqft
2015-03,JURONG EAST,3 ROOM,39,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,260000.0,721.1813,360.51960859218065
2015-08,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,289000.0,721.1813,400.7314110890008
2016-11,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,250000.0,721.1813,346.6534698001737
2017-01,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,250000.0,721.1813,346.6534698001737
2017-10,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,200000.0,721.1813,277.32277584013895
2017-11,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,232000.0,721.1813,321.6944199745612
2018-01,JURONG EAST,3 ROOM,38,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,235000.0,721.1813,325.85426161216327
2018-06,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,226000.0,721.1813,313.374736699357
2018-09,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,215000.0,721.1813,298.12198402814937
2019-07,JURONG EAST,3 ROOM,39,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,218000.0,721.1813,302.28182566575146
2019-09,JURONG EAST,3 ROOM,39,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,220000.0,721.1813,305.05505342415285
2020-01,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,220000.0,721.1813,305.05505342415285
2020-03,JURONG EAST,3 ROOM,38,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,210000.0,721.1813,291.1889146321459
2020-08,JURONG EAST,3 ROOM,39,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,228000.0,721.1813,316.1479644577584
2020-12,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,230000.0,721.1813,318.9211922161598
2013-01,JURONG EAST,3 ROOM,39,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,315000.0,721.1813,436.78337194821887
2013-04,JURONG EAST,3 ROOM,37,TEBAN GDNS RD,04 TO 06,67.0,Improved,1966,311000.0,721.1813,431.2369164314161
2013-07,JURONG EAST,3 ROOM,38,TEBAN GDNS RD,01 TO 03,67.0,Improved,1966,310000.0,721.1813,429.8503025522154
2015-01,GEYLANG,3 ROOM,20,BALAM RD,04 TO 06,60.3,Standard,1967,275000.0,649.0631699999999,423.68757420021234
2015-01,GEYLANG,3 ROOM,23,BALAM RD,07 TO 09,60.3,Standard,1967,282000.0,649.0631699999999,434.47234881621773
2015-01,QUEENSTOWN,3 ROOM,83,C'WEALTH CL,04 TO 06,60.0,Standard,1967,310000.0,645.834,479.9995045166405
2015-01,QUEENSTOWN,3 ROOM,95,C'WEALTH DR,04 TO 06,68.0,Standard,1967,335000.0,731.9452,457.68453703911166
2015-01,QUEENSTOWN,3 ROOM,93,C'WEALTH DR,04 TO 06,60.0,Standard,1967,350000.0,645.834,541.9349244542716
2015-01,TOA PAYOH,3 ROOM,113,LOR 1 TOA PAYOH,01 TO 03,64.0,Improved,1967,288000.0,688.8896,418.0640845790095
2015-01,TOA PAYOH,3 ROOM,110,LOR 1 TOA PAYOH,01 TO 03,65.0,Improved,1967,300000.0,699.6535,428.78367649129177
2015-01,TOA PAYOH,3 ROOM,114,LOR 1 TOA PAYOH,04 TO 06,65.0,Improved,1967,317000.0,699.6535,453.0814181591316
2015-02,GEYLANG,3 ROOM,20,BALAM RD,01 TO 03,60.0,Standard,1967,270000.0,645.834,418.0640845790095
2015-02,GEYLANG,3 ROOM,20,BALAM RD,07 TO 09,60.3,Standard,1967,275000.0,649.0631699999999,423.68757420021234
2015-02,QUEENSTOWN,2 ROOM,85,C'WEALTH CL,07 TO 09,46.0,Standard,1967,258000.0,495.13939999999997,521.065380779635
2015-02,QUEENSTOWN,3 ROOM,90,C'WEALTH DR,04 TO 06,60.0,Standard,1967,335000.0,645.834,518.7091419776599
2015-02,QUEENSTOWN,3 ROOM,93,C'WEALTH DR,01 TO 03,60.0,Standard,1967,350000.0,645.834,541.9349244542716
2015-02,TOA PAYOH,3 ROOM,114,LOR 1 TOA PAYOH,04 TO 06,65.0,Improved,1967,300000.0,699.6535,428.78367649129177
2015-02,TOA PAYOH,3 ROOM,114,LOR 1 TOA PAYOH,01 TO 03,65.0,Improved,1967,320000.0,699.6535,457.3692549240445
2015-02,TOA PAYOH,3 ROOM,110,LOR 1 TOA PAYOH,07 TO 09,65.0,Improved,1967,350000.0,699.6535,500.2476225731737
2015-03,BUKIT MERAH,2 ROOM,28,JLN BT MERAH,07 TO 09,47.0,Standard,1967,250000.0,505.9033,494.16558460875825
2015-03,BUKIT MERAH,2 ROOM,28,JLN BT MERAH,10 TO 12,47.0,Standard,1967,272000.0,505.9033,537.652156054329
2015-03,BUKIT MERAH,3 ROOM,28,HOY FATT RD,01 TO 03,60.0,Standard,1967,322000.0,645.834,498.5801304979299
2015-03,GEYLANG,3 ROOM,34,CIRCUIT RD,01 TO 03,60.0,Standard,1967,255000.0,645.834,394.83830210239785
2015-03,GEYLANG,3 ROOM,19,BALAM RD,07 TO 09,60.3,Standard,1967,270000.0,649.0631699999999,415.9841637602085
2015-03,QUEENSTOWN,3 ROOM,88,C'WEALTH CL,01 TO 03,63.0,Standard,1967,305000.0,678.1256999999999,449.76912097565395
2015-03,QUEENSTOWN,3 ROOM,88,C'WEALTH CL,07 TO 09,58.0,Standard,1967,308000.0,624.3062,493.3476553652679
2015-03,QUEENSTOWN,3 ROOM,84,C'WEALTH CL,01 TO 03,69.0,Standard,1967,320000.0,742.7090999999999,430.8550952183029
2015-03,QUEENSTOWN,3 ROOM,84,C'WEALTH CL,04 TO 06,69.0,Standard,1967,320000.0,742.7090999999999,430.8550952183029
2015-04,BUKIT MERAH,2 ROOM,28,HOY FATT RD,13 TO 15,47.0,Standard,1967,255800.0,505.9033,505.63022617168144
2015-04,BUKIT MERAH,3 ROOM,28,HOY FATT RD,07 TO 09,60.0,Standard,1967,308000.0,645.834,476.902733519759
2015-04,GEYLANG,2 ROOM,63,CIRCUIT RD,04 TO 06,45.0,Standard,1967,240000.0,484.3755,495.48335950104826
2015-04,GEYLANG,3 ROOM,21,BALAM RD,01 TO 03,60.3,Standard,1967,260000.0,649.0631699999999,400.5773428802008
2015-04,GEYLANG,3 ROOM,22,BALAM RD,07 TO 09,60.0,Standard,1967,275000.0,645.834,425.8060120712134
2015-04,GEYLANG,3 ROOM,24,BALAM RD,04 TO 06,60.0,Standard,1967,280000.0,645.834,433.5479395634173
2015-04,QUEENSTOWN,2 ROOM,81,C'WEALTH CL,10 TO 12,46.0,Standard,1967,238000.0,495.13939999999997,480.67271560291914
