Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,Tranc_Year
2015-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1976,308000.0,2015
2015-01,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,01 TO 03,97.0,New Generation,1976,475000.0,2015
2015-02,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,315000.0,2015
2015-04,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,285000.0,2015
2015-04,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,305000.0,2015
2015-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,300000.0,2015
2015-05,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,328000.0,2015
2015-06,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,290000.0,2015
2015-06,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1976,310000.0,2015
2015-06,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,333000.0,2015
2015-06,ANG MO KIO,4 ROOM,218,ANG MO KIO AVE 1,10 TO 12,82.0,New Generation,1976,375000.0,2015
2015-07,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,265000.0,2015
2015-07,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,368000.0,2015
2015-08,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,307000.0,2015
2015-08,ANG MO KIO,4 ROOM,213,ANG MO KIO AVE 3,04 TO 06,82.0,New Generation,1976,380000.0,2015
2015-08,ANG MO KIO,4 ROOM,214,ANG MO KIO AVE 3,10 TO 12,82.0,New Generation,1976,405000.0,2015
2015-09,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,298888.0,2015
2015-09,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,317000.0,2015
2015-09,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,07 TO 09,82.0,New Generation,1976,370000.0,2015
2015-09,ANG MO KIO,4 ROOM,215,ANG MO KIO AVE 1,04 TO 06,88.0,New Generation,1976,360000.0,2015
2015-10,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,320000.0,2015
2016-02,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1976,290000.0,2016
2016-03,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1976,308888.0,2016
2016-03,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,312500.0,2016
2016-03,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,320000.0,2016
2016-03,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,320000.0,2016
2016-04,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,82.0,New Generation,1976,340000.0,2016
2016-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,280000.0,2016
2016-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,338000.0,2016
2016-08,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,308000.0,2016
2016-08,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,318000.0,2016
2016-08,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,325000.0,2016
2016-08,ANG MO KIO,4 ROOM,218,ANG MO KIO AVE 1,13 TO 15,82.0,New Generation,1976,390000.0,2016
2016-09,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,283000.0,2016
2016-09,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,323000.0,2016
2016-10,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1976,270000.0,2016
2016-10,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,333888.0,2016
2016-11,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1976,315000.0,2016
2016-12,ANG MO KIO,4 ROOM,213,ANG MO KIO AVE 3,07 TO 09,82.0,New Generation,1976,380000.0,2016
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,285000.0,2017
2017-01,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,97.0,New Generation,1976,460000.0,2017
2017-03,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,250000.0,2017
2017-03,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,310000.0,2017
2017-03,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,310000.0,2017
2017-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,282000.0,2017
2017-06,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1976,235000.0,2017
2017-06,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,268000.0,2017
2017-06,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,289000.0,2017
2017-06,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,325000.0,2017
2017-07,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,258000.0,2017
2017-07,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,13 TO 15,67.0,New Generation,1976,300000.0,2017
2017-07,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,320000.0,2017
2017-07,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,01 TO 03,97.0,New Generation,1976,418000.0,2017
2017-09,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,258000.0,2017
2017-09,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,277000.0,2017
2017-09,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1976,320000.0,2017
2017-10,ANG MO KIO,4 ROOM,214,ANG MO KIO AVE 3,07 TO 09,82.0,New Generation,1976,380000.0,2017
2017-11,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,280000.0,2017
2018-01,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,98.0,New Generation,1976,438000.0,2018
2018-03,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,298000.0,2018
2018-04,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,265000.0,2018
2018-04,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,13 TO 15,67.0,New Generation,1976,268000.0,2018
2018-04,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,295000.0,2018
2018-06,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,275000.0,2018
2018-07,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,265000.0,2018
2018-07,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,300000.0,2018
2018-07,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,300000.0,2018
2018-08,ANG MO KIO,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,97.0,New Generation,1976,385000.0,2018
2018-09,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,07 TO 09,67.0,New Generation,1976,258000.0,2018
2018-10,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1976,235000.0,2018
2018-10,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,275000.0,2018
