address,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_food_stalls,hawker_market_stalls
"174, ANG MO KIO AVE 4",11,1980,Y,N,N,N,N,198,0,57,137,1,1,0,0,0,0,2,0,0,560174,1.375097469,103.837619,Ang Mo Kio,993.3141114,,1,2,188.7023454,1,4,8,40,84
"541, ANG MO KIO AVE 10",8,1979,Y,N,N,N,N,191,0,0,165,21,3,2,0,0,0,0,0,0,560541,1.373922392,103.8556214,Ang Mo Kio,939.8076741,,1,3,187.2736004,1,2,11,50,100
"163, ANG MO KIO AVE 4",4,1981,Y,Y,N,N,N,84,0,0,84,0,0,0,0,0,0,0,0,0,560163,1.373548539,103.8381765,Ang Mo Kio,885.8637288,,1,2,165.99102,1,5,8,40,84
"446, ANG MO KIO AVE 10",4,1979,Y,Y,N,N,N,23,0,0,23,0,0,0,0,0,0,0,0,0,560446,1.367760951,103.8553571,Ang Mo Kio,786.4478757,,1,3,134.2169827,1,4,10,39,113
"557, ANG MO KIO AVE 10",13,1979,Y,N,N,N,N,187,0,0,158,24,2,3,0,0,0,0,0,0,560557,1.371625702,103.8577361,Ang Mo Kio,1059.577046,,,3,385.2356886,2,2,7,50,100
"603, ANG MO KIO AVE 5",12,1979,Y,Y,N,N,N,140,0,0,116,20,1,3,0,0,0,0,0,0,560603,1.38020079,103.8357557,Ang Mo Kio,1458.830109,,,2,558.3216426,,2,6,52,166
"709, ANG MO KIO AVE 8",4,1979,Y,Y,N,N,N,28,0,0,28,0,0,0,0,0,0,0,0,0,560709,1.371137208,103.8476623,Ang Mo Kio,207.6549541,2,2,2,163.6927835,1,4,9,45,78
"333, ANG MO KIO AVE 1",11,1980,Y,N,N,N,N,179,0,0,158,20,0,1,0,0,0,0,0,0,560333,1.361342556,103.8516986,Ang Mo Kio,959.2359336,,1,4,437.1883751,2,3,10,40,148
"109, ANG MO KIO AVE 4",12,1978,Y,N,N,N,N,154,0,0,121,33,0,0,0,0,0,0,0,0,560109,1.370096538,103.8376878,Ang Mo Kio,944.3078703,,1,3,385.8882735,2,4,8,10,101
"564, ANG MO KIO AVE 3",13,1979,Y,N,N,N,N,214,0,0,187,24,1,1,0,0,0,0,1,0,560564,1.369848376,103.8594041,Ang Mo Kio,813.8362116,,1,3,371.8831687,1,3,7,39,113
"218, ANG MO KIO AVE 1",13,1976,Y,Y,N,N,N,190,0,0,164,24,1,1,0,0,0,0,0,0,560218,1.365119086,103.8417425,Ang Mo Kio,885.8982368,,2,4,310.5947832,2,4,11,29,0
"556, ANG MO KIO AVE 10",13,1979,Y,N,N,N,N,189,0,0,161,24,0,3,0,0,0,0,1,0,560556,1.372032363,103.8576254,Ang Mo Kio,1059.118175,,,3,361.6314225,2,2,7,50,100
"156, ANG MO KIO AVE 4",11,1980,Y,N,N,N,N,155,0,0,130,20,5,0,0,0,0,0,0,0,560156,1.375495196,103.8399475,Ang Mo Kio,777.5750618,,1,2,126.4081676,1,5,8,40,84
"471, ANG MO KIO AVE 10",12,1978,Y,N,N,N,N,219,0,0,196,22,0,1,0,0,0,0,0,0,560471,1.363466006,103.8567029,Ang Mo Kio,946.7623118,,1,4,168.4912143,1,3,9,40,148
"434, ANG MO KIO AVE 10",12,1978,Y,N,N,N,N,107,0,0,82,22,1,2,0,0,0,0,0,0,560434,1.367891507,103.853455,Ang Mo Kio,578.1089213,,2,3,334.9971633,1,5,11,39,113
"560, ANG MO KIO AVE 10",13,1979,Y,Y,N,N,N,190,0,0,163,24,0,2,0,0,0,0,1,0,560560,1.370816268,103.8591923,Ang Mo Kio,902.6995019,,1,3,413.9963018,1,3,7,39,113
"332, ANG MO KIO AVE 1",11,1980,Y,Y,N,N,N,168,0,0,146,20,0,1,0,0,0,0,1,0,560332,1.361670308,103.8519555,Ang Mo Kio,937.1587907,,1,4,398.4164295,2,3,10,40,148
"421, ANG MO KIO AVE 10",13,1978,Y,Y,N,N,N,134,0,0,111,22,0,1,0,0,0,0,0,0,560421,1.365384226,103.852967,Ang Mo Kio,667.6005314,,1,4,397.5933419,1,4,10,40,148
"506, ANG MO KIO AVE 8",12,1979,Y,N,N,N,N,151,0,0,125,22,2,1,0,0,0,0,1,0,560506,1.374400419,103.8489362,Ang Mo Kio,427.6891214,1,2,2,376.60566,1,2,9,45,78
"631, ANG MO KIO AVE 4",11,1979,Y,Y,N,N,N,200,0,0,179,19,1,1,0,0,0,0,0,0,560631,1.379557282,103.8407357,Ang Mo Kio,1024.650636,,,2,122.2421027,1,2,8,52,166
"153, ANG MO KIO AVE 5",12,1980,Y,N,N,N,N,128,0,0,102,22,1,3,0,0,0,0,0,0,560153,1.376357457,103.8420565,Ang Mo Kio,655.0001892,,1,2,368.697906,2,3,9,40,84
