Tranc_YearMonth,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2019-01,2 ROOM,28,JLN BT MERAH,07 TO 09,47,Standard,1967,190000
2019-01,2 ROOM,28,JLN BT MERAH,04 TO 06,47,Standard,1967,200000
2019-01,3 ROOM,66,CIRCUIT RD,07 TO 09,56,Standard,1967,263000
2019-01,3 ROOM,83,C'WEALTH CL,13 TO 15,60,Standard,1967,285000
2019-01,3 ROOM,112,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1967,239999
2019-01,3 ROOM,113,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1967,275000
2019-01,2 ROOM,120,LOR 2 TOA PAYOH,01 TO 03,40,Standard,1968,200000
2019-01,3 ROOM,117,LOR 1 TOA PAYOH,01 TO 03,64,Improved,1968,278000
2019-01,3 ROOM,113,JLN BT MERAH,07 TO 09,60,Standard,1969,250000
2019-01,3 ROOM,22,HAVELOCK RD,07 TO 09,64,Standard,1969,365000
2019-01,3 ROOM,58,CIRCUIT RD,07 TO 09,56,Standard,1969,205000
2019-01,3 ROOM,60,CIRCUIT RD,07 TO 09,56,Standard,1969,223000
2019-01,3 ROOM,59,CIRCUIT RD,01 TO 03,59,Standard,1969,230000
2019-01,3 ROOM,61,CIRCUIT RD,10 TO 12,61,Standard,1969,295000
2019-01,3 ROOM,97,JLN DUA,07 TO 09,56,Standard,1969,310000
2019-01,3 ROOM,2,JLN BATU,01 TO 03,60,Standard,1969,288000
2019-01,3 ROOM,3,JLN BATU,04 TO 06,60,Standard,1969,318000
2019-01,3 ROOM,2,JLN BATU,04 TO 06,60,Standard,1969,333000
2019-01,3 ROOM,1,LOR 7 TOA PAYOH,04 TO 06,67,Improved,1969,185000
2019-01,3 ROOM,16,TAMAN HO SWEE,01 TO 03,54,Standard,1970,275000
2019-01,3 ROOM,87,CIRCUIT RD,04 TO 06,60,Improved,1970,220000
2019-01,3 ROOM,112,HO CHING RD,01 TO 03,67,Improved,1970,210000
2019-01,2 ROOM,7,JLN BATU,07 TO 09,48,Standard,1970,215000
2019-01,3 ROOM,166,STIRLING RD,07 TO 09,60,Improved,1970,290000
2019-01,3 ROOM,154,MEI LING ST,07 TO 09,67,Improved,1970,300000
2019-01,3 ROOM,9,LOR 7 TOA PAYOH,01 TO 03,66,Improved,1970,195000
2019-01,3 ROOM,107,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1970,240000
2019-01,3 ROOM,23,TOA PAYOH EAST,07 TO 09,67,Improved,1970,240000
2019-01,3 ROOM,36,BEO CRES,04 TO 06,59,Standard,1971,293000
2019-01,4 ROOM,36,CIRCUIT RD,07 TO 09,83.1,Standard,1971,310000
2019-01,3 ROOM,19,CHAI CHEE RD,10 TO 12,65,Improved,1972,250000
2019-01,3 ROOM,21,CHAI CHEE RD,10 TO 12,65,Improved,1972,265000
2019-01,3 ROOM,37,CIRCUIT RD,01 TO 03,58,Standard,1972,210000
2019-01,3 ROOM,45,BENDEMEER RD,07 TO 09,66,Improved,1972,280000
2019-01,3 ROOM,34,WHAMPOA WEST,07 TO 09,68,Improved,1972,305000
2019-01,3 ROOM,26,BENDEMEER RD,01 TO 03,71,Improved,1972,335000
2019-01,3 ROOM,34,WHAMPOA WEST,10 TO 12,68,Improved,1972,340000
2019-01,3 ROOM,46,JLN BAHAGIA,01 TO 03,93,Terrace,1972,660000
2019-01,2 ROOM,161,LOR 1 TOA PAYOH,04 TO 06,40,Improved,1972,215000
2019-01,3 ROOM,85,LOR 4 TOA PAYOH,01 TO 03,68,Improved,1972,200000
2019-01,3 ROOM,174,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1972,234000
2019-01,3 ROOM,159,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1972,320000
2019-01,4 ROOM,120,BT MERAH VIEW,07 TO 09,88,Improved,1973,412000
2019-01,3 ROOM,32,BALAM RD,04 TO 06,57,Standard,1973,210000
2019-01,3 ROOM,77,LOR LIMAU,04 TO 06,59,Improved,1973,205000
2019-01,3 ROOM,23A,QUEEN'S CL,04 TO 06,76,Improved,1973,325000
2019-01,3 ROOM,206,TOA PAYOH NTH,04 TO 06,65,Improved,1973,300000
2019-01,3 ROOM,207,TOA PAYOH NTH,07 TO 09,76,Improved,1973,326000
2019-01,3 ROOM,36,CHAI CHEE AVE,07 TO 09,65,Improved,1974,261000
2019-01,5 ROOM,87,ZION RD,04 TO 06,119,Improved,1974,750000
2019-01,4 ROOM,2,QUEEN'S RD,07 TO 09,89,Improved,1974,545000
2019-01,4 ROOM,2,QUEEN'S RD,07 TO 09,89,Improved,1974,580000
2019-01,3 ROOM,9,SELEGIE RD,04 TO 06,58,Standard,1974,310000
2019-01,3 ROOM,9,SELEGIE RD,04 TO 06,56,Standard,1974,340000
2019-01,3 ROOM,122,YUAN CHING RD,01 TO 03,61,Improved,1974,188000
2019-01,3 ROOM,64,KALLANG BAHRU,04 TO 06,65,Improved,1974,260000
2019-01,3 ROOM,82,WHAMPOA DR,13 TO 15,66,Improved,1974,285000
2019-01,3 ROOM,63,KALLANG BAHRU,13 TO 15,65,Improved,1974,330000
2019-01,5 ROOM,56,GEYLANG BAHRU,16 TO 18,114,Standard,1974,570000
2019-01,3 ROOM,8,HOLLAND AVE,07 TO 09,59,Improved,1974,307000
2019-01,3 ROOM,31,HOLLAND CL,07 TO 09,59,Improved,1974,332000
2019-01,3 ROOM,4,HOLLAND CL,07 TO 09,65,Improved,1974,370000
2019-01,3 ROOM,9,HOLLAND AVE,10 TO 12,65,Improved,1974,388000
2019-01,4 ROOM,4,HOLLAND CL,16 TO 18,88,Improved,1974,500000
2019-01,3 ROOM,2,MARSILING DR,07 TO 09,65,Improved,1974,220000
2019-01,3 ROOM,1,MARSILING DR,10 TO 12,65,Improved,1974,226000
2019-01,4 ROOM,5,MARSILING DR,13 TO 15,90,Improved,1974,263000
2019-01,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31,Improved,1975,172000
2019-01,3 ROOM,6,TELOK BLANGAH CRES,13 TO 15,65,Improved,1975,288000
2019-01,3 ROOM,12,TELOK BLANGAH CRES,10 TO 12,70,Improved,1975,308000
2019-01,4 ROOM,24,TELOK BLANGAH CRES,10 TO 12,82,Improved,1975,408000
2019-01,3 ROOM,16,UPP BOON KENG RD,07 TO 09,65,Improved,1975,320000
2019-01,3 ROOM,32,MARINE CRES,01 TO 03,65,Improved,1975,305000
2019-01,3 ROOM,47,MARINE CRES,04 TO 06,65,Improved,1975,317000
2019-01,3 ROOM,59,MARINE TER,10 TO 12,65,Improved,1975,320000
2019-01,3 ROOM,31,MARINE CRES,10 TO 12,65,Improved,1975,335000
2019-01,3 ROOM,46,MARINE CRES,07 TO 09,76,Improved,1975,355000
2019-01,3 ROOM,31,MARINE CRES,10 TO 12,76,Improved,1975,463000
2019-01,4 ROOM,55,MARINE TER,13 TO 15,88,Improved,1975,485000
2019-01,4 ROOM,17,MARINE TER,10 TO 12,82,Improved,1975,518000
2019-01,5 ROOM,29,MARINE CRES,19 TO 21,117,Standard,1975,818000
2019-01,4 ROOM,10,HOLLAND AVE,04 TO 06,88,Improved,1975,553000
2019-01,4 ROOM,12,HOLLAND AVE,13 TO 15,88,Improved,1975,580000
2019-01,4 ROOM,214,LOR 8 TOA PAYOH,04 TO 06,82,Improved,1975,295000
2019-01,3 ROOM,215,ANG MO KIO AVE 1,04 TO 06,73,New Generation,1976,295000
2019-01,3 ROOM,18,BEDOK STH RD,04 TO 06,65,Improved,1976,250000
2019-01,3 ROOM,18,BEDOK STH RD,07 TO 09,65,Improved,1976,278000
2019-01,3 ROOM,3,BEDOK STH AVE 1,07 TO 09,59,Improved,1976,278000
2019-01,3 ROOM,28,TELOK BLANGAH RISE,04 TO 06,59,Improved,1976,250000
2019-01,4 ROOM,40,TELOK BLANGAH RISE,10 TO 12,82,Improved,1976,362500
2019-01,3 ROOM,209,BOON LAY PL,07 TO 09,65,Improved,1976,205000
2019-01,3 ROOM,209,BOON LAY PL,07 TO 09,65,Improved,1976,215000
2019-01,5 ROOM,201,BOON LAY DR,07 TO 09,122,Standard,1976,360000
2019-01,5 ROOM,202,BOON LAY DR,10 TO 12,120,Standard,1976,430000
2019-01,3 ROOM,10,GLOUCESTER RD,10 TO 12,67,New Generation,1976,395000
2019-01,4 ROOM,9,GLOUCESTER RD,10 TO 12,91,New Generation,1976,480000
2019-01,4 ROOM,9,GLOUCESTER RD,10 TO 12,91,New Generation,1976,515000
2019-01,3 ROOM,66,MARINE DR,04 TO 06,65,Improved,1976,348000
2019-01,3 ROOM,65,MARINE DR,04 TO 06,65,Improved,1976,350000
2019-01,3 ROOM,67,MARINE DR,13 TO 15,65,Improved,1976,380000
2019-01,3 ROOM,66,MARINE DR,07 TO 09,76,Improved,1976,470000
2019-01,3 ROOM,3,GHIM MOH RD,10 TO 12,76,Improved,1976,390000
2019-01,4 ROOM,23,DOVER CRES,07 TO 09,88,Improved,1976,410000
2019-01,3 ROOM,225,LOR 8 TOA PAYOH,04 TO 06,65,Improved,1976,230000
2019-01,3 ROOM,225,LOR 8 TOA PAYOH,07 TO 09,65,Improved,1976,250000
2019-01,4 ROOM,222,LOR 8 TOA PAYOH,04 TO 06,82,Improved,1976,298000
2019-01,3 ROOM,13,MARSILING LANE,07 TO 09,76,Improved,1976,200000
2019-01,3 ROOM,13,MARSILING LANE,04 TO 06,65,Improved,1976,207000
2019-01,4 ROOM,8,MARSILING DR,04 TO 06,88,Improved,1976,235000
